Count; Name; Value; Package Name; Package Library;Stückpreis Einzel;Stückpreis 1000;Preis Einzel;Preis 1000;Hersteller;Teilenummer;URL
1; 5V; ; JP1; jumper;;;0;0;;;
1; BATT100;2032; KZH20SMD; kzh20_lithium_batterie_holder;0,6;;0,6;0;Reichelt (?);KZH 20SMD-2;"http://www.reichelt.de/Batteriehalter-fuer-Knopfzellen/KZH-20SMD-2/3/index.html?;ACTION=3;LA=446;ARTICLE=74686;GROUPID=4260;artnr=KZH+20SMD-2;SID=12UCfOyn8AAAIAAAOnN-ga4f906a4cb0c41c45ea3922f7a28e576"
8; C1, C2, C3, C4, C6, C9, C10, C11; 100nF; C0805K; rcl;0,041;;0,328;0;;;
2; C5, C8; 24pF; C0805K; rcl;0,064;;0,128;0;;;
1; C7; 33uF, 6.3V; B(3528-21); vishay;0,249;;0,249;0;Vishay;293D336X96R3B2TE3;http://at.rs-online.com/web/p/tantal-elektrolykondensator/6844095/
2; D1, D2; LL4148; SOD80C; diode;0,015;;0,03;0;Vishay;LL4148-GS08;http://at.rs-online.com/web/p/schaltdioden/7002886/
3; D3, D4, D5; AZ23C3V3-7-F; SOT23; diode;0,082;;0,246;0;DiodesZetex;AZ23C3V3-7-F;http://at.rs-online.com/web/p/zener-dioden/7081848/?searchTerm=AZ23C3V3-7-F&relevancy-data=636F3D3126696E3D4931384E4272616E644D504E266C753D6465266D6D3D6D61746368616C6C26706D3D5E285C772B5B2D5C2E5C732F5D292B285C772B293F2426706F3D3526736E3D592673743D4B4559574F52445F4D554C54495F414C5048415F4E554D45524943267573743D415A3233433356332D372D462677633D4E4F4E4526
1; I2C5V; ; 2X04SMD; pinhead;1,03;;1,03;0;FCI;89898-304LF;http://at.rs-online.com/web/p/header-leiterplattenbuchsen/6737382/
1; IC1; MAX3311; UMAX10; maxim;2,07;;2,07;0;Maxim;MAX3311ECUB+;http://at.rs-online.com/web/p/line-transceiver/7329406/
1; IC2; DS1307; SOIC-8; dallas;2,88;;2,88;0;Maxim;DS1307Z+T&R;http://at.rs-online.com/web/p/echtzeituhren/7619759/
1; IC3; MAX3140; QSOP28; max3140;6,19;;6,19;0;Maxim;MAX3140CEI+;http://at.farnell.com/maxim-integrated-products/max3140cei/spi-mikrowire-uart-w-rs485-28qsop/dp/1606632
1; IC4; LM3480IM4; SOT23-3; SparkFun;1,28;;1,28;0;National Semiconductor;LM3480IM3-3.3/NOPB;http://at.rs-online.com/web/p/ldo-spannungsregler/5361530/
2; INPUT, SPI; ; 1X06M; pinhead;0;;0;0;;;
2; LED1, LED2; ; SML0805; led;0,053;;0,106;0;;;
1; OUT; ; 1X04M; pinhead;0;;0;0;;;
1; PWR;31182102;31182102; ria;0,26;;0,26;0;RIA Connect;31182102;"http://www.reichelt.de/RIA-Stecksysteme/AKL-182-02/3/index.html?;ACTION=3;LA=446;ARTICLE=36643;GROUPID=3408;artnr=AKL+182-02;SID=12UCfOyn8AAAIAAAOnN-ga4f906a4cb0c41c45ea3922f7a28e576"
1;;31169102;31169102; ria;0,5;;;0;RIA Connect;31169102;
2; Q1, Q2; BC847ASMD; SOT23; transistor-npn;0,023;;0,046;0;Infineon;BC847C;http://at.rs-online.com/web/p/transistoren-bipolar/4452023/
1; Q3; EQ160-32.768-12.5; EQ160; EuroQuartz;1,11;;1,11;0;Euroquartz;EQ160-32.768-12.5;http://at.rs-online.com/web/p/quarzmodule/7276267/?searchTerm=EQ160-32.768-12.5&relevancy-data=636F3D3126696E3D4931384E4272616E644D504E266C753D6465266D6D3D6D61746368616C6C26706D3D5E285C772B5B2D5C2E5C732F5D292B285C772B293F2426706F3D3526736E3D592673743D4B4559574F52445F4D554C54495F414C5048415F4E554D45524943267573743D45513136302D33322E3736382D31322E352677633D4E4F4E4526
1; Q4; 3.6864MHZ; 49USMX; EuroQuartz;0,67;;0,67;0;Euroquartz;3.6864MHz 49USMX/30/50/-40+85/18pF/ATF;http://at.rs-online.com/web/p/quarzmodule/6938847/
10; R1, R3, R5, R7, R9, R11, R15, R18, R23, R25; 10k; R0603; rcl;0,012;;0,12;0;;;
7; R2, R4, R6, R8, R10, R12, R16; 1k; R0603; rcl;0,012;;0,084;0;;;
2; R13, R14;220; R0805; rcl;0,005;;0,01;0;;;
2; R17, R20;47; R1206; rcl;0,011;;0,022;0;;;
1; R19;120; R1206; rcl;0,011;;0,011;0;;;
1; R21; 100k; R0805; rcl;0,005;;0,005;0;;;
2; R22, R24;560; R0805; rcl;0,005;;0,01;0;;;
2; RS232, RS485;31182103;31182103; ria;0,39;;0,78;0;RIA Connect;31182103;"http://www.reichelt.de/RIA-Stecksysteme/AKL-182-03/3/index.html?;ACTION=3;LA=446;ARTICLE=36644;GROUPID=3408;artnr=AKL+182-03;SID=12UCfOyn8AAAIAAAOnN-ga4f906a4cb0c41c45ea3922f7a28e576"
1;;31169103;31169103; ria;0,75;;0,75;0;RIA Connect;31169103;
1; SW1; SKQUDBE010; SKQU-SMD; alps;2,82;;2,82;0;Alps;SKQUDBE010;http://at.rs-online.com/web/p/joystick-steuerschalter/0516110/?searchTerm=SKQUDBE010&relevancy-data=636F3D3226696E3D4931384E4B6E6F776E41734D504E266C753D6465266D6D3D6D61746368616C6C7061727469616C26706D3D5E5C772B2426706F3D313326736E3D592673743D4D414E5F504152545F4E554D424552267573743D534B51554442453031302677633D424F544826
1; TP1; TPB1,27; B1,27; testpad;;;0;0;;;
